ID,Tag,From,To,Duration,Loops
52,FETech,10-07-2025 00:22,10-07-2025 01:23,00:55:00,1
53,FETech,10-07-2025 01:32,10-07-2025 01:50,00:17:49,0
54,OdinProject_JS,10-07-2025 01:52,10-07-2025 02:17,00:25:42,0
55,OdinProject_JS,10-07-2025 02:21,10-07-2025 02:38,00:15:08,0
56,Eating ,10-07-2025 02:38,10-07-2025 02:47,00:09:06,0
57,Eating ,10-07-2025 02:52,10-07-2025 02:52,00:00:00,0
58,OdinProject_JS,10-07-2025 02:52,10-07-2025 03:19,00:26:27,0
59,sleep,10-07-2025 03:23,10-07-2025 08:31,05:07:20,0
60,etc,10-07-2025 08:31,10-07-2025 08:45,00:13:57,0
61,Always Different ,10-07-2025 08:47,10-07-2025 09:20,00:33:36,0
62,cooking ,10-07-2025 10:13,10-07-2025 10:37,00:24:04,0
63,Eating ,10-07-2025 10:37,10-07-2025 10:50,00:12:42,0
64,etc,10-07-2025 10:50,10-07-2025 10:58,00:08:08,0
65,Anime,10-07-2025 11:28,10-07-2025 11:37,00:08:48,0
66,YouTube ,10-07-2025 11:39,10-07-2025 11:45,00:05:43,0
67,Collage ,10-07-2025 11:46,10-07-2025 14:05,02:18:57,0
68,Eating ,10-07-2025 14:08,10-07-2025 14:18,00:09:46,0
69,YouTube ,10-07-2025 15:25,10-07-2025 16:25,01:00:00,1
70,YouTube ,10-07-2025 16:35,10-07-2025 16:48,00:12:32,0
71,etc,10-07-2025 16:55,10-07-2025 17:08,00:13:01,0
72,OdinProject_JS,10-07-2025 17:08,10-07-2025 17:29,00:07:36,0
73,OdinProject_JS,10-07-2025 17:29,10-07-2025 18:19,00:49:39,0
74,cooking ,10-07-2025 18:19,10-07-2025 18:39,00:20:32,0
75,Eating ,10-07-2025 18:40,10-07-2025 18:54,00:14:47,0
76,groceries ,10-07-2025 19:19,10-07-2025 20:36,01:16:40,0
77,outdoor ,10-07-2025 20:57,10-07-2025 21:47,00:50:40,0
78,cooking ,10-07-2025 21:49,10-07-2025 22:00,00:11:38,0
79,Workout ,10-08-2025 00:11,10-08-2025 00:42,00:31:13,0
80,OdinProject_JS,10-08-2025 00:44,10-08-2025 01:03,00:18:20,0
81,Eating ,10-08-2025 01:03,10-08-2025 01:26,00:22:41,0
82,Anime,10-08-2025 01:26,10-08-2025 01:31,00:05:01,0
85,etc,10-08-2025 09:19,10-08-2025 09:55,00:31:36,1
86,YouTube ,10-08-2025 09:57,10-08-2025 10:45,00:47:18,0
87,OdinProject_JS,10-08-2025 13:49,10-08-2025 14:24,00:35:26,0
88,cooking ,10-08-2025 14:25,10-08-2025 14:40,00:15:38,0
89,OdinProject_JS,10-08-2025 14:41,10-08-2025 14:53,00:09:22,0
90,Eating ,10-08-2025 14:53,10-08-2025 15:10,00:16:22,0
91,OdinProject_JS,10-08-2025 15:46,10-08-2025 16:44,00:55:00,1
92,OdinProject_JS,10-08-2025 16:44,10-08-2025 16:51,00:07:24,0
93,cooking ,10-08-2025 17:09,10-08-2025 17:19,00:09:44,0
94,FETech,10-08-2025 17:20,10-08-2025 20:53,00:55:00,1
